_measurement,time,price,mileage,title,url
string,dateTime:RFC3339,double,double,string,string
group,FALSE,FALSE,FALSE,FALSE,FALSE
gt350_listing,2022-03-25T00:00:00Z,171350,451,451-Mile 2020 Ford Mustang Shelby GT350R Heritage Edition,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-6/
gt350_listing,2022-03-29T00:00:00Z,99000,2400,"2,400-Mile 2020 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-8/
gt350_listing,2022-04-28T00:00:00Z,175212,568,568-Mile 2020 Ford Mustang Shelby GT350R Heritage Edition,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-7/
gt350_listing,2022-05-06T00:00:00Z,154000,406,406-Mile 2020 Ford Mustang Shelby GT350R Heritage Edition,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-10/
gt350_listing,2022-05-21T00:00:00Z,155000,196,196-Mile 2020 Ford Mustang Shelby GT350R Heritage Edition,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-18/
gt350_listing,2022-06-17T00:00:00Z,91000,4000,4k-Mile 2020 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-20/
gt350_listing,2022-06-24T00:00:00Z,155000,141,141-Mile 2020 Ford Mustang Shelby GT350R Heritage Edition,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-21/
gt350_listing,2022-06-28T00:00:00Z,70000,1200,"1,200-Mile 2020 Ford Mustang Shelby GT350",https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350-32/
gt350_listing,2022-07-30T00:00:00Z,122500,1100,"1,100-Mile 2020 Ford Mustang Shelby GT350R Heritage Edition",https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-25/
gt350_listing,2022-10-29T00:00:00Z,80500,78,78-Mile 2020 Ford Mustang Shelby GT350 Heritage Edition,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350-42/
gt350_listing,2022-11-09T00:00:00Z,122500,40,40-Mile 2020 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-32/
gt350_listing,2022-12-15T00:00:00Z,100000,275,275-Mile 2020 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-30/
gt350_listing,2023-01-09T00:00:00Z,101000,18,18-Mile 2020 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-34/
gt350_listing,2023-01-12T00:00:00Z,82001,1500,"1,500-Mile 2020 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-35/
gt350_listing,2023-01-31T00:00:00Z,87000,2200,"2,200-Mile 2020 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-36/
gt350_listing,2023-04-19T00:00:00Z,131000,155,155-Mile 2020 Ford Mustang Shelby GT350R Heritage Edition,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-41/
gt350_listing,2023-05-30T00:00:00Z,96000,642,642-Mile 2020 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-43/
gt350_listing,2023-06-20T00:00:00Z,96000,357,357-Mile 2020 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-45/
gt350_listing,2023-08-09T00:00:00Z,64500,2900,"2,900-Mile 2020 Ford Mustang Shelby GT350",https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350-56/
gt350_listing,2023-08-23T00:00:00Z,86000,1300,"1,300-Mile 2020 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-49/
gt350_listing,2023-09-09T00:00:00Z,135000,15,15-Mile 2020 Ford Mustang Shelby GT350R Heritage Edition,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350r-50/
gt350_listing,2023-09-10T00:00:00Z,70500,3400,"3,400-Mile 2020 Ford Mustang Shelby GT350",https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350-57/
gt350_listing,2023-10-06T00:00:00Z,65000,6000,6k-Mile 2020 Ford Mustang Shelby GT350,https://bringatrailer.com/listing/2020-ford-mustang-shelby-gt350-58/
